Europe,Date,Revision,Market cap,Volume
EDF FP,28/07/2017,-0.029070566,29201.8272,31.65675607
SFER IM,15/11/2017,-0.089922471,4341.2967,16.07347601
MHG NO,01/11/2017,-0.03044974,9615.3778,33.19097361
ALFA SS,25/10/2017,0.007413616,10411.5481,19.54095127
GETIB SS,18/10/2017,-0.086770979,5030.943,14.57371247
CNP FP,16/11/2017,0.012467466,15403.2223,6.210632209
NHY NO,17/10/2017,-0.010693285,15862.9617,34.23178776
CFR SW,10/11/2017,-0.002013797,50065.8564,98.22779098
OUT1V FH,26/10/2017,-0.102703559,3976.3906,27.25557278
PHARM NA,26/10/2017,0.974305556,492.1095,28.09113216
SKG ID,01/11/2017,0.003693187,7259.6543,16.04709275
STM IM,26/10/2017,0.115759734,21116.8862,69.23609588
UBM LN,28/07/2017,-0.006835938,3647.6492,7.601225766
ABF LN,07/11/2017,-0.014492754,33513.7769,31.17828769
UDG LN,28/11/2017,0.002272727,2764.0132,6.08332653
HEIO NA,31/07/2017,-0.01968531,28239.4057,6.559739742
HNR1 GR,08/11/2017,0.006299613,15114.7161,18.35384855
SU FP,27/07/2017,0.011955949,47741.4737,96.05073202
KYG ID,10/08/2017,-0.006717471,15943.5102,12.93861485
SAABB SS,24/10/2017,0.001577116,5741.5355,12.5233687
SHBA SS,18/10/2017,0.009911502,29065.7736,42.27736053
DAI GR,20/10/2017,0.007879807,86089.1747,206.5303861
RBREW DC,23/11/2017,0.011911715,2944.0641,3.56965374
VIFN SW,08/08/2017,-0.344264543,7080.7262,18.15608999
ASSAB SS,20/10/2017,-0.007388219,23935.7436,44.54934207
LSG NO,09/11/2017,-0.047744982,3450.8983,4.177058195
ABBN SW,26/10/2017,0.010481351,55090.3284,105.6781177
BILL SS,17/10/2017,-0.008141186,3444.8744,8.947278865
DSY FP,25/10/2017,-0.019151174,27699.5899,21.43917429
BZU IM,03/08/2017,-0.004555154,4802.6721,16.69869929
ISAT LN,09/11/2017,-0.072878904,3110.236,15.12038882
KIE LN,21/09/2017,0.005952381,1539.8403,4.447052153
DPW GR,09/11/2017,0.002072961,55562.0044,85.53761462
SOI FP,30/11/2017,0.051035631,2403.7703,10.46567543
ARL GR,14/11/2017,-0.002578605,2518.0422,11.02363399
CLN SW,31/10/2017,0.029988915,8360.9374,64.47136926
FME GR,02/11/2017,-0.015575542,29532.3555,45.26982171
IP IM,08/11/2017,0.0339836,3446.2062,6.700958169
BATS LN,27/07/2017,-0.000289056,159508.5102,423.3741203
MF FP,07/09/2017,-0.211004827,7355.6948,7.054735244
EDP PL,03/11/2017,-0.028458201,13203.8626,18.91133021
AXFO SS,19/10/2017,-0.000450688,3883.2021,5.939005511
UTDI GR,14/11/2017,0.036552018,12698.1496,17.47196306
CAST SS,20/10/2017,-0.01584943,4433.2712,9.108355521
NOVOB DC,01/11/2017,0.000574524,124509.8468,125.9752226
IPN FP,27/07/2017,-0.034986507,10467.6819,15.02881391
VPK NA,18/08/2017,-0.066692582,5647.2885,16.28765294
FORTUM FH,26/10/2017,0.029921223,18908.5412,55.65444363
BWY LN,17/10/2017,0.054804996,5775.9558,15.81748694
TW/ LN,01/08/2017,0.014985269,8385.2439,30.41343605
RSW LN,27/07/2017,0.080754717,3964.6044,3.499019882
STJ LN,27/07/2017,-0.044872439,8476.0049,19.76349113
EOAN GR,08/11/2017,0.004731861,27387.5723,92.65710857
SCYR SM,13/11/2017,-0.049159916,1297.6278,5.994709045
ANA SM,09/11/2017,0.002163685,4582.0116,10.62177211
BAS GR,24/10/2017,0.028858684,97346.4176,161.5874531
STAN LN,02/08/2017,0.022567182,34639.8234,58.02635263
SSABA SS,25/10/2017,0.014620195,4513.6199,18.3771198
INF LN,25/07/2017,-0.005194302,7455.9042,17.16536496
FINGB SS,26/10/2017,-0.329071536,633.337,27.22490391
HMB SS,28/09/2017,-0.00849017,42944.2338,107.5087419
RPC LN,29/11/2017,0.012015705,4961.4565,17.78788416
MT IM,07/11/2017,-0.016192494,1671.7882,6.050843852
NDA GR,13/12/2017,-0.021760439,3682.215,13.90174951
ANDR AV,03/11/2017,-0.024482737,5760.2397,6.298925595
BP/ LN,31/10/2017,0.04415298,134136.4822,157.8027059
RUI FP,08/09/2017,0.002526234,6331.2547,6.955013068
SKY LN,12/10/2017,0.005303248,21098.0924,49.95286098
SCMN SW,02/11/2017,0.009776933,26043.499,55.55109183
RCO FP,23/11/2017,-0.00337424,6523.8484,8.223944603
WDH DC,14/08/2017,0.004263177,6615.1026,13.12717212
RNO FP,28/07/2017,0.01052467,26707.204,72.1087616
GAS SM,07/11/2017,-0.031097024,,52.52815823
DTE GR,09/11/2017,0.011302049,83495.319,149.803887
INVEB SS,17/10/2017,-0.005045997,37987.5093,38.86195633
VK FP,10/11/2017,-0.102213148,2680.8303,25.01903298
UHR SW,21/07/2017,-0.030282326,21676.756,58.43712187
QQ/ LN,16/11/2017,0.011904762,1528.7864,4.507049074
BESI NA,26/10/2017,0.042014808,3016.0442,8.86436915
OCDO LN,05/07/2017,-0.27443609,2249.7792,13.03380434
NOVN SW,24/10/2017,0.003473141,218445.0474,262.0151724
GBLB BB,03/11/2017,-0.005479897,17438.7057,9.731315709
SMIN LN,22/09/2017,-0.011305242,8120.4288,18.54528609
GN DC,02/11/2017,-0.009978062,4586.2874,13.0863992
SIE GR,09/11/2017,-0.063436997,117646.5858,220.2140787
BTG LN,14/11/2017,0.0140038,3567.1907,5.815810725
PSG SM,08/11/2017,0.022192656,4822.4316,3.072495421
JYSK DC,25/10/2017,0.005155356,4954.3808,12.8836574
CAP FP,27/07/2017,0.001369978,18739.181,48.99299255
AGS BB,08/11/2017,0.018635585,9833.7351,29.60511215
EZJ LN,21/11/2017,-0.049029622,7062.3515,33.67220037
SHP LN,27/10/2017,0.00094651,42875.3453,109.3200098
CNA LN,01/08/2017,-0.015591232,14996.6777,53.6837525
TNET BB,26/10/2017,0.012580771,8133.8215,6.044577152
BRE IM,09/11/2017,0.005023016,5220.0463,11.12342416
PBB GR,02/11/2017,0.118911723,2009.4635,3.834396244
PSM GR,09/11/2017,-0.02315448,7685.4887,38.62875357
FRA GR,02/11/2017,0.00910745,8700.1244,11.14094184
IRE IM,15/11/2017,0.013659951,3557.6338,5.863199757
DKSH SW,13/07/2017,-0.023730616,5037.9243,6.181724618
HLMA LN,21/11/2017,0.010882542,6644.4668,11.36391628
DC/ LN,13/12/2017,-0.013515922,2807.9052,20.40348923
LUX IM,24/07/2017,-0.007313837,29234.3741,20.61422695
NK FP,01/11/2017,-0.022093068,7283.9224,5.993248639
ELUXB SS,27/10/2017,0.010686666,10850.7315,27.33533608
TEP FP,28/07/2017,0.003211319,7612.219,11.70072342
TIT IM,10/11/2017,0.003472222,16726.4997,71.49080069
RRS LN,02/11/2017,-0.033999994,8510.9184,32.38116281
SY1 GR,09/08/2017,-0.036872005,9188.8852,15.33814332
ISP IM,07/11/2017,-0.008381142,55267.5738,225.5795174
BOK LN,12/10/2017,0.010657596,4853.6379,17.71860369
ICP LN,14/11/2017,0.091545724,3847.238,7.176969729
MTGB SS,19/10/2017,-0.00075663,2622.9625,5.083825249
GNK LN,30/11/2017,-0.04188484,2177.4872,8.161160887
BMPS IM,07/11/2017,-0.795745049,5938.3078,42.81037829
JM SS,26/10/2017,0.011080269,1804.7934,11.72588856
LCL LN,31/08/2017,0.010841333,2925.6507,19.98310967
CPG LN,21/11/2017,-0.015503876,32202.533,65.54238637
BVIC LN,29/11/2017,0.021072797,2873.1595,5.953299986
ETL FP,28/07/2017,0.025855513,6355.6076,11.9348682
GNC LN,28/11/2017,-0.045977011,1853.0967,6.65341475
RTO LN,27/07/2017,0.008012821,6982.1857,14.64789431
BC8 GR,10/11/2017,0.007754261,3498.7493,4.149510742
OML LN,11/08/2017,0.00482594,12536.9569,20.33562211
GSK LN,25/10/2017,-0.038225023,93109.5061,154.4625989
BBY LN,16/08/2017,0.009590955,2474.0149,5.453289022
KINVB SS,26/10/2017,-0.316497127,9156.7416,17.62709366
LONN SW,26/07/2017,0.066699249,17956.728,59.48983721
BNR GR,08/11/2017,0.027750514,9321.0682,12.97045266
SANT GR,10/11/2017,0.095635406,1058.8979,4.109259272
UBI IM,10/11/2017,0.062185998,5347.1612,63.70376271
HER IM,08/11/2017,0.019052419,4994.4008,6.427556092
MAERSKA DC,07/11/2017,-0.21173809,35725.897,8.285626645
PROX BB,27/10/2017,0.001638689,11255.585,14.02556159
SRG IM,07/11/2017,0.016228964,18246.5505,33.75444222
SWMA SS,27/10/2017,0.018024436,6798.0678,17.45464141
MAERSKB DC,07/11/2017,-0.21173809,35725.897,38.72506384
INDT SS,25/10/2017,0.031832803,3252.6453,3.065592345
HOLMB SS,24/10/2017,0.014842855,4189.2286,3.169165734
ENGI FP,28/07/2017,0.006621263,39000.4157,70.91345659
PPB LN,08/08/2017,-0.021394119,7929.4654,18.75400832
ATCOB SS,18/10/2017,0.028413789,51032.6059,23.68599994
MUV2 GR,09/11/2017,-0.013635811,35459.2742,101.4059781
PAGE LN,10/08/2017,0.010963592,2078.6662,4.147336508
RO SW,27/07/2017,0.001497972,217884.2116,6.27719395
IFX GR,14/11/2017,-0.004140787,32089.3049,99.10359953
TRYG DC,10/10/2017,0.005343158,6365.2724,7.872298092
FHZN SW,29/08/2017,-0.014169677,7503.4674,8.175631662
ORNBV FH,26/10/2017,-0.011558429,5872.0174,15.32384908
BAB LN,21/11/2017,-0.021767849,4708.9429,18.04141122
PST IM,09/11/2017,0.023568865,9387.9268,14.91961994
TRELB SS,27/10/2017,-0.001717217,6811.4343,14.41605485
KGF LN,20/09/2017,0.003893952,9255.5757,33.62926458
RIO LN,02/08/2017,0.003661158,83901.6407,187.4755918
NCCB SS,26/10/2017,-0.03077417,2410.753,10.83853438
AI FP,28/07/2017,0.000915717,47860.238,86.16924763
HUFVA SS,09/11/2017,-0.00129249,3650.4488,4.05666581
JEN GR,10/11/2017,0.039016453,1879.0269,3.44636807
TELIA SS,19/10/2017,-0.028587186,20707.5533,36.19548273
ENG SM,17/10/2017,0.001835057,6711.787,33.11240841
SOW GR,20/10/2017,0.010096876,3789.7128,7.111794566
GNFT FP,26/09/2017,0,975.3378,3.281757958
MRW LN,14/09/2017,-0.003731343,7325.7864,20.32688824
GET FP,25/07/2017,0.005859375,5894.4953,15.74856058
BARN SW,08/11/2017,0.027041116,8622.9959,5.94127334
PWTN SW,19/10/2017,-0.067858464,3250.2563,5.285983159
ULE LN,07/08/2017,-0.035462468,2017.0024,6.155290671
BPE IM,09/11/2017,0.095941558,2170.7327,27.03903623
ITV LN,26/07/2017,-0.012443973,9464.0164,32.47203217
INVP LN,16/11/2017,-0.008095791,6454.1773,8.744757138
NDX1 GR,14/11/2017,-0.697981047,835.2751,8.847278331
SOBI SS,25/10/2017,-0.007996338,3930.5112,6.112955066
ENI IM,27/10/2017,-0.0105197,58041.6462,165.8187462
PSPN SW,14/11/2017,0.007615586,4056.8487,4.122703006
DEQ GR,16/11/2017,-0.011879882,2335.4688,6.469064833
WG/ LN,22/08/2017,-0.041525874,2814.2239,18.95302203
BARC LN,26/10/2017,-0.068430884,40959.5185,78.43260095
BOL FP,04/09/2017,-0.093418536,13702.1249,4.51709099
ZURN SW,09/11/2017,-0.017003943,46220.0605,95.35103484
GEN DC,09/11/2017,-0.07538272,11716.8945,49.61374586
SBMO NA,09/08/2017,-0.095988141,3624.3135,15.98045505
RI FP,31/08/2017,-0.050639216,36201.8819,40.97977853
DUE GR,08/11/2017,-0.007840666,4333.8198,12.95665239
HO FP,26/07/2017,-0.009759543,23755.0514,24.03733763
SW FP,16/11/2017,0.008838384,18449.8022,25.21352952
HWDN LN,20/07/2017,0.004918033,3535.0263,14.42846666
TSCO LN,04/10/2017,0.0078125,19995.2081,61.45624114
VIV FP,17/11/2017,-0.001012945,33008.0168,60.85716206
GEBN SW,31/10/2017,0.001258768,16786.662,36.23440667
A3M SM,19/10/2017,-0.015607363,2364.3197,4.412142673
SPM IM,24/10/2017,-0.071193995,4286.7788,36.0423431
TATE LN,02/11/2017,0.045445716,4106.7229,16.26164884
GFS LN,09/08/2017,-0.002475248,6166.9032,14.4408677
GFRD LN,13/09/2017,-0.004599212,1466.3601,3.539971735
SKAB SS,27/10/2017,0.029691398,8781.1395,27.25012874
ERA FP,27/07/2017,0.27131339,1679.4541,3.201476112
LOGN SW,24/10/2017,-0.005684739,6005.811,30.55709201
ZC FP,31/10/2017,-0.07742639,8297.5579,10.20731939
RDSA LN,02/11/2017,0.032389224,265423.618,145.2725323
SEBA SS,11/10/2017,0.003668168,28648.2574,44.63676961
LR FP,07/11/2017,0.004224473,19463.8395,29.05296831
NMC LN,23/08/2017,-0.007803402,6775.0274,3.943486865
SAN SM,26/10/2017,-0.000353384,108927.4682,381.2914476
ITX SM,13/12/2017,-0.001633014,114731.1549,155.698
TRE SM,10/11/2017,-0.56112609,1518.4411,15.21209794
AMS SW,24/10/2017,0.145453475,5616.5724,39.03074934
APAM NA,09/11/2017,-0.018770484,4605.8146,13.28565642
SZG GR,14/11/2017,0.005621368,2844.6425,9.279859507
DUFN SW,31/10/2017,-0.025098696,8028.0468,20.34621612
HL/ LN,15/08/2017,-0.002,8250.6928,14.86715471
UCB BB,20/10/2017,0.009789544,14091.5524,20.07819957
GRF SM,02/11/2017,-0.027476593,18820.1901,17.78005795
PGHN SW,12/09/2017,0.061222464,18232.9935,21.38684567
JMAT LN,21/11/2017,-0.008263768,8091.3931,23.70997288
SPSN SW,24/08/2017,0.009197633,6411.164,7.99743944
HIK LN,17/08/2017,-0.112413566,3687.5891,11.88590052
DIA SM,26/10/2017,-0.049107061,3017.688,18.97205719
CEY LN,09/10/2017,-0.022403769,2215.6344,12.35337612
KESKOB FH,25/10/2017,-0.016688506,5263.731,7.366394198
HELN SW,04/09/2017,0.0026079,5576.9548,8.22617011
WMH LN,02/08/2017,0.012342473,3043.359,12.61667641
ASC LN,17/10/2017,-0.008171604,6322.2533,29.92872316
EO FP,21/07/2017,0.024190987,7593.4904,23.17557161
CGCBV FH,27/10/2017,-0.038878429,3851.084,5.319792004
GLEN LN,10/08/2017,0.108154241,61919.8144,155.0592253
BUCN SW,03/08/2017,0.042210204,3568.6398,5.851023294
AMEAS FH,26/10/2017,-0.01655136,3008.5597,6.272441365
AKERBP NO,30/10/2017,0.135322394,7614.893,9.422812381
PNDORA DC,07/11/2017,-0.015217324,10014.196,61.55899655
ABLX BB,16/11/2017,0.082971345,1532.8531,8.103324589
AIXA GR,26/10/2017,0.338290689,1479.2516,18.87130788
SAP GR,19/10/2017,-0.007890672,139092.1272,157.37563
OR FP,03/11/2017,-0.005452007,125681.0652,102.5540999
NDA SS,26/10/2017,-0.032594671,49338.6264,72.12279953
CARLB DC,16/08/2017,-0.006688711,16084.3319,18.99876347
KSP ID,18/08/2017,0.037684538,6627.7039,9.165093663
ASML NA,18/10/2017,0.010832882,73767.7059,145.8392802
VOE AV,08/11/2017,0.049225912,10054.2821,10.64673283
FP FP,27/10/2017,0.021668754,138407.9046,219.8046925
ING FP,27/07/2017,0.008613407,6294.3735,28.61169064
TOM2 NA,20/10/2017,0.022723587,2562.2459,8.849585677
INDUC SS,05/10/2017,-0.093803446,11717.8387,10.52364528
NZYMB DC,25/10/2017,0.006175067,16502.8407,17.0722464
SGO FP,28/07/2017,0.0068114,30542.774,84.77582513
EVD GR,22/11/2017,0.012132759,4457.2644,3.86856534
AKZA NA,18/10/2017,-0.019078895,22835.4954,52.53508556
REC IM,26/10/2017,0.00331818,9698.7123,13.80497744
BCP PL,14/11/2017,0,4447.4047,16.15573031
OMV AV,09/11/2017,0.070276706,20049.1593,14.90948247
INDUA SS,05/10/2017,-0.093803446,11717.8387,4.559839518
IAG LN,27/10/2017,0.009733004,16830.389,61.61348806
SKFB SS,31/10/2017,0.027260228,10587.7091,38.46825986
EI FP,28/07/2017,-0.035447843,28633.6377,58.65784911
SYDB DC,31/10/2017,-0.006870837,2744.3623,6.606144631
CBK GR,09/11/2017,-0.068308857,17329.6641,112.7505156
AVV LN,14/11/2017,0.000655308,2166.8679,5.851779397
FRES LN,01/08/2017,0.052953461,14562.609,19.53400531
WDI GR,15/11/2017,0.003567706,12027.071,45.88997592
IBE SM,07/11/2017,-0.010451827,49503.4126,123.3153979
AKER NO,23/11/2017,-0.284642883,3472.5999,3.282783879
TDC DC,31/10/2017,-0.01970457,,10.5553881
DMGT LN,30/11/2017,-0.167630058,2579.7793,6.366588195
BNZL LN,29/08/2017,0.011091751,9912.4005,18.31142785
AV/ LN,03/08/2017,-0.007120928,28594.3032,58.79273063
MTX GR,26/10/2017,0.042686644,8750.0937,17.33275292
PHNX LN,24/08/2017,-0.047214027,3898.6848,5.578451623
AGK LN,02/08/2017,-0.008222265,2856.6017,9.318419882
PFG LN,25/07/2017,-0.027318875,4179.964,21.15531348
SGRE SM,07/11/2017,-0.121761658,9463.6413,47.10934598
LLOY LN,25/10/2017,0.016910173,64760.6454,133.4575092
ORP FP,27/09/2017,-0.009487215,7283.646,8.861206224
RDW LN,05/09/2017,0.054945055,3114.694,4.638096663
SAND SS,24/10/2017,0.022887192,22218.5587,53.25670999
KCR FH,25/10/2017,0.008804669,4117.5643,6.154074195
MC FP,27/07/2017,0.01251251,128667.3771,161.6865909
SECUB SS,23/10/2017,0.006435832,,16.44061405
LUPE SS,01/11/2017,-0.040004291,8448.1445,13.05091813
A2A IM,13/11/2017,0.09259012,5272.5879,11.92274032
NEX FP,07/11/2017,-0.03552369,2795.8596,10.19566858
LSE LN,03/08/2017,0.012620756,17647.9208,29.59097354
UMI BB,31/07/2017,-4.67E-05,8979.3836,19.05972301
PRU LN,10/08/2017,-0.004960498,61279.4135,99.48729653
BVI FP,28/07/2017,-0.022433675,10256.9578,13.48883868
OTE1V FH,02/11/2017,-0.110523039,1481.3181,5.28076718
AMG NA,02/11/2017,-0.029723001,1421.9728,12.38238417
ARYN SW,25/09/2017,-0.268468468,2936.2271,15.89733876
EMSN SW,28/08/2017,0.00011854,16164.1454,15.06996539
BBVA SM,27/10/2017,0.001669434,55588.0845,410.2650112
BGN IM,08/11/2017,0.037126722,3857.0526,7.573522229
REL LN,27/07/2017,0.00181321,44670.3286,60.55090661
SBRY LN,09/11/2017,-0.009471408,6598.5702,26.24106216
SOON SW,13/11/2017,-0.028781316,11054.5841,26.60201377
JUP LN,26/07/2017,0.021419076,3167.9395,7.612644788
EVR LN,10/08/2017,0.134785354,5032.869,6.437776818
ALO FP,14/11/2017,0.057204064,9053.2692,24.20675179
RMV LN,28/07/2017,0.016152041,5212.2567,11.5269643
BEI GR,03/08/2017,-0.006440204,27046.009,32.07608613
UBXN SW,25/08/2017,-0.06315908,1367.9121,5.906121033
WRT1V FH,25/10/2017,-0.039040277,13420.8549,21.52300283
STMN SW,17/08/2017,0.021586907,10060.5416,16.30578542
IMB LN,07/11/2017,-0.02561288,38947.4517,90.84356972
BOL SS,24/10/2017,-0.005623523,9585.9521,44.05479111
SAF FP,28/07/2017,0.033199694,39249.0951,78.57359155
AD NA,08/11/2017,0.024760621,25311.0562,82.3441538
SDF GR,15/11/2017,-0.066190602,4459.3693,29.20715029
HSBA LN,30/10/2017,-0.001663055,194636.1953,193.4838286
IHG LN,08/08/2017,0.003797503,10445.4264,22.41394827
SXS LN,25/07/2017,-0.015137704,3791.0853,9.252535571
RWE GR,14/11/2017,-0.01627248,15032.5982,67.92651199
KN FP,08/11/2017,-0.005175983,24020.7688,32.15855889
ECM LN,14/11/2017,0.018390805,3858.9635,8.785747751
FGR FP,31/08/2017,0.026188578,10106.8425,19.62796433
RIB GR,30/10/2017,-0.063650626,1148.47,3.613972066
COB LN,03/08/2017,-0.017592593,4563.2785,11.37210236
HEN GR,14/11/2017,0.003143218,55932.3012,8.706138203
SDRY LN,03/07/2017,-0.00729927,1619.2508,3.768277981
SAL IM,27/07/2017,-0.052758461,1785.9763,3.734684645
ENEL IM,09/11/2017,0.001861042,63134.4728,127.4689724
RBI AV,14/11/2017,0.076422505,11547.2507,11.11225161
BKIA SM,30/10/2017,-0.039823108,13783.0975,28.50129756
CABK SM,24/10/2017,0.003401639,27196.3185,90.6403943
MMB FP,28/07/2017,-0.008284658,4290.3559,8.338749558
SCHN SW,24/10/2017,0.005385233,23778.5061,3.389230909
CHR DC,25/10/2017,-0.009651475,11300.9248,11.72820652
BKT SM,26/10/2017,-0.008002939,8459.2466,31.124232
BAER SW,24/07/2017,0.033043563,12320.8709,31.73273025
SSE LN,08/11/2017,0.003481288,18724.3213,58.52347593
KAZ LN,17/08/2017,0.081929392,4061.2725,18.56947346
SREN SW,02/11/2017,-0.136729978,32812.5018,108.2697048
SAX GR,10/11/2017,0.043061178,3864.7118,4.855448476
BAVA DC,08/11/2017,-1.414240983,1307.5047,8.313947767
HUSQB SS,20/10/2017,-0.046918112,5461.9927,10.96971705
US IM,10/11/2017,0,6222.2299,9.806319467
SZU GR,12/10/2017,-0.092675245,4122.3231,11.47141545
DWNI GR,14/11/2017,-0.040135011,15442.2962,26.57693095
VOLVA SS,20/10/2017,0.054630784,43229.6373,3.910609246
VOLVB SS,20/10/2017,0.054630784,43229.6373,75.21161196
SUN SW,27/07/2017,-0.046140915,3891.7565,5.671412911
ABE SM,23/10/2017,0.010154191,22065.9575,106.5832288
SMWH LN,12/10/2017,-0.005459509,3030.0232,7.129810528
EDEN FP,25/07/2017,-0.008911011,6090.5383,15.96351899
CAPC LN,21/07/2017,-0.365808824,3316.9242,7.231731016
BBA LN,01/08/2017,0.016442374,4242.9029,5.688248768
ICA SS,10/11/2017,-0.010032077,7158.1975,10.1287104
GLB ID,10/08/2017,-0.031352498,6124.1317,3.846673435
BA/ LN,02/08/2017,-0.017877355,24895.8121,64.77697463
PARG SW,03/11/2017,0.011800084,7146.7051,3.821819612
PRY IM,08/11/2017,-0.01519439,7297.983,22.00158162
RDSB LN,02/11/2017,0.032389224,265423.618,142.168283
EXPN LN,15/11/2017,0.005789474,19330.0871,33.37777687
RXL FP,27/10/2017,0.00089848,5296.4734,14.75556813
TCG LN,22/11/2017,-0.051724138,2275.707,5.012928596
AR4 GR,10/08/2017,0.28379955,1794.3406,8.44945902
BMW GR,07/11/2017,0.001269356,65598.1443,122.1164284
S92 GR,09/11/2017,-0.000344928,1393.7653,3.709000543
BN FP,27/07/2017,-0.003286752,50654.9996,113.842242
CBG LN,26/09/2017,0.008390542,2886.4683,3.493818379
RBS LN,27/10/2017,0.002008032,44823.5153,42.13069122
AC FP,27/07/2017,-0.167927414,13497.5216,37.78001823
HOT GR,07/11/2017,0.002014893,11413.8592,20.14097715
TEF SM,26/10/2017,-0.007288689,53369.8806,233.3962637
WCH GR,26/10/2017,0.154464012,7924.1058,16.05183138
MGGT LN,01/08/2017,-0.018009768,5195.6998,15.11296073
UU/ LN,22/11/2017,0.006391074,7090.7139,22.73411845
HSV LN,21/11/2017,-0.012899897,3560.5298,4.735433564
AGL IM,28/07/2017,-0.026388261,2989.8972,4.819819197
BEKB BB,28/07/2017,-0.010918664,2992.9318,3.380277416
WEIR LN,27/07/2017,0.009191971,5474.5883,31.91239757
COLOB DC,02/11/2017,-0.057235046,16739.2557,20.39384529
INGA NA,02/11/2017,-0.002164453,71671.6679,194.6408485
ENC SM,01/11/2017,0.289069357,1428.5539,3.426448369
ATCOA SS,18/10/2017,0.028413789,51032.6059,55.10029393
CON GR,09/11/2017,-0.007136329,50265.8173,70.05130868
MB IM,27/10/2017,0.035008258,9585.3844,31.94208665
AZM IM,09/11/2017,-0.011381092,2692.984,15.37204774
KPN NA,26/10/2017,0.015012934,14895.6961,33.96891104
WKL NA,28/07/2017,-0.004220756,13182.2539,28.55788428
RHM GR,07/11/2017,0.017087794,5264.8974,11.229279
VIS SM,31/10/2017,0.0002442,2741.9822,5.926085958
DCC LN,14/11/2017,0.013035049,8504.9448,15.31646204
DSM NA,02/11/2017,0.047476685,15807.3065,47.16519571
TPK LN,02/08/2017,-0.004131641,5042.6893,17.05187407
EMG LN,01/08/2017,0.027906249,3687.1826,8.895967626
ADS GR,09/11/2017,-0.002742267,42753.9561,107.4334265
SAN FP,02/11/2017,-0.010441505,117075.1265,154.2065889
MRK GR,19/10/2017,-0.023801489,48528.6305,56.90661962
BVS LN,07/09/2017,0.018259758,2042.4907,5.200979835
IBAB BB,24/08/2017,-0.295210974,705.413,4.43466096
MEL SM,08/11/2017,-0.029007191,2949.4295,7.357569679
III LN,16/11/2017,0.041795416,11762.3888,17.07061169
ERF FP,30/08/2017,0.087243675,9607.3375,6.80613949
DB1 GR,27/10/2017,-0.012438768,20404.3653,46.94887198
NG/ LN,09/11/2017,-0.010520158,40328.3104,89.62012355
WTB LN,24/10/2017,-0.005715842,9040.7361,27.94488075
BAYN GR,26/10/2017,-0.005713784,108556.8621,201.5624839
NHH SM,16/11/2017,0.013005663,2031.127,4.623111732
ADM LN,16/08/2017,-0.000871568,7489.1544,13.29366426
HUH1V FH,26/10/2017,-0.022069167,4641.405,7.989137377
ALV GR,10/11/2017,0.003612561,104611.5436,186.7815299
KBC BB,16/11/2017,0.002078366,34301.1438,48.16312004
METSB FH,01/11/2017,0.00700389,2694.2805,4.364192418
UNI IM,10/11/2017,-0.144398201,3096.7317,11.09624839
ACX SM,31/10/2017,-0.018077631,3966.4853,13.55481142
ASM NA,01/11/2017,-0.038769938,4173.8815,11.48566073
